sample_index,true_cfr_power,rms_scale,absolute_prediction_mse,existing_nmse_db,total_uncertainty,normalized_absolute_prediction_mse,normalized_nmse_db,normalized_total_uncertainty,aleatoric,epistemic,normalized_aleatoric,normalized_epistemic,regime
70,1.7016667127609253,1.3044794797897339,0.10560844838619232,-18.092304229736328,0.026207752525806427,0.062061771750450134,-18.092304229736328,0.015401226468384266,0.023329418152570724,0.002878335304558277,0.013709746301174164,0.0016914800507947803,ID-Easy 20 ns
71,1.3924849033355713,1.180035948753357,0.08421303331851959,-18.205692291259766,0.0269293412566185,0.06047681346535683,-18.205692291259766,0.019339054822921753,0.023766804486513138,0.003162537468597293,0.017067907378077507,0.002271146746352315,ID-Easy 20 ns
72,0.6311197876930237,0.7944304943084717,0.04703810065984726,-17.29559326171875,0.023674150928854942,0.0745311751961708,-17.29559326171875,0.037511344999074936,0.020973600447177887,0.0027005509473383427,0.03323236107826233,0.004278982989490032,ID-Easy 20 ns
73,1.1963424682617188,1.093774437904358,0.07393480837345123,-18.110496520996094,0.02425510436296463,0.06180070340633392,-18.11050033569336,0.020274382084608078,0.02150406688451767,0.0027510379441082478,0.017974842339754105,0.0022995404433459044,ID-Easy 20 ns
74,0.9773389101028442,0.9886045455932617,0.070851631462574,-17.414836883544922,0.022516418248414993,0.07249442487955093,-17.414836883544922,0.02303849533200264,0.02001764066517353,0.0024987778160721064,0.020481780171394348,0.0025567158591002226,ID-Easy 20 ns
75,1.4682347774505615,1.211707353591919,0.07727502286434174,-18.80891990661621,0.02134469524025917,0.05263124406337738,-18.80891990661621,0.014537657611072063,0.01911154016852379,0.0022331541404128075,0.013016678392887115,0.0015209788689389825,ID-Easy 20 ns
76,1.0476856231689453,1.0235651731491089,0.07668771594762802,-17.374832153320312,0.023880038410425186,0.07319725304841995,-17.374832153320312,0.022793132811784744,0.02119944803416729,0.0026805901434272528,0.020234551280736923,0.0025585824623703957,ID-Easy 20 ns
77,1.3158543109893799,1.1471068859100342,0.08919987827539444,-17.708698272705078,0.019473157823085785,0.06778857111930847,-17.708698272705078,0.01479887031018734,0.017354799434542656,0.002118357690051198,0.013188997283577919,0.0016098725609481335,ID-Easy 20 ns
78,1.0627827644348145,1.0309135913848877,0.09246538579463959,-16.625093460083008,0.022285815328359604,0.08700308203697205,-16.625093460083008,0.02096930332481861,0.019832229241728783,0.0024535858538001776,0.018660660833120346,0.0023086429573595524,ID-Easy 20 ns
79,0.8762109875679016,0.936061441898346,0.06842752546072006,-17.094942092895508,0.021275321021676064,0.07809479534626007,-17.094942092895508,0.02428104728460312,0.018975643441081047,0.0022996768821030855,0.021656477823853493,0.00262456969358027,ID-Easy 20 ns
80,0.7448420524597168,0.8630422949790955,0.04858649894595146,-17.875669479370117,0.018395209684967995,0.06523061543703079,-17.875669479370117,0.024696793407201767,0.01648412086069584,0.0019110881257802248,0.02213102951645851,0.002565762959420681,ID-Easy 20 ns
81,0.37003278732299805,0.6083031892776489,0.03126601129770279,-16.752368927001953,0.019328972324728966,0.08449523895978928,-16.752368927001953,0.052235838025808334,0.01725093275308609,0.0020780398044735193,0.04662001132965088,0.005615826230496168,ID-Easy 20 ns
82,0.9160356521606445,0.9570975303649902,0.06746918708086014,-17.346742630004883,0.023121943697333336,0.0736534520983696,-17.346742630004883,0.025241313502192497,0.020550811663269997,0.002571132266893983,0.02243451029062271,0.0028068036772310734,ID-Easy 20 ns
83,0.5749030113220215,0.7582235932350159,0.047541845589876175,-16.84876251220703,0.023135105147957802,0.08269541710615158,-16.84876251220703,0.04024175554513931,0.020464498549699783,0.002670606365427375,0.03559643775224686,0.004645316395908594,ID-Easy 20 ns
84,0.9106312394142151,0.9542700052261353,0.06254151463508606,-17.651718139648438,0.019898684695363045,0.06867930293083191,-17.651718139648438,0.02185152843594551,0.017741655930876732,0.0021570289973169565,0.0194828100502491,0.002368718385696411,ID-Easy 20 ns
